event_id,name,url,start_time,start_date,end_time,end_date,duration,venue_name,venue_address,city,longitude,latitude,summary,is_online_event,tickets_url,tags,categoria,data_source,image,age_range,min_age,max_age,interior
1341769381339,Cuánto Cuento!  (de 3 a 6 años),https://www.eventbrite.es/e/entradas-cuanto-cuento-de-3-a-6-anos-1341769381339,11:30,2025-05-10,12:00,2025-05-10,0:30:00,Vualá - Librería juvenil y infantil,"17 Calle de Santa Feliciana Calle Santa Feliciana 17, 28010 Madrid, España, 28010 Madrid",Madrid,-3.698552499999999,40.4335425,¡Te esperamos en nuestros cuentos dramatizados!,False,https://www.eventbrite.com/checkout-external?eid=1341769381339,"Niños y jóvenes,Familia y educación,Concierto o actuación,Niños,Evento,Narración de cuentos,Familia,Evento,Madrid,Narrador,Cuentos,Cuentacuentos,Niños y familias","Cine, Educación, Ocio",eventbrite,,3-6,3.0,6.0,True
1297237354849,Club Futuros Podcasters - Taller de podcast para niños de 6 a 12 años,https://www.eventbrite.es/e/entradas-club-futuros-podcasters-taller-de-podcast-para-ninos-de-6-a-12-anos-1297237354849,17:30,2025-05-08,18:30,2025-05-08,1:00:00,"C. de Ramón y Cajal, 4","4 Calle de Ramón y Cajal, 28801 Alcalá de Henares",Alcalá de Henares,-3.3655154,40.4825418,Talleres de podcast mensuales para niños. Nos reunimos el primer jueves de cada mes. Ven a probar un taller o apúntate a todos hasta julio.,False,https://www.eventbrite.com/checkout-external?eid=1297237354849,"Niños y jóvenes,Familia y educación,Clase, formación o taller,Radio,Audio,Taller,Podcast,Educacion,Comunicación,Curso,Ocio,Locutores,Microfono",Deportes,eventbrite,,6-12,6.0,12.0,False
1302079507859,Investigactiva. Especial Energía y movimiento 1 DE JUNIO,https://www.eventbrite.es/e/investigactiva-especial-energia-y-movimiento-1-de-junio-tickets-1302079507859,11:30,2025-06-01,12:25,2025-06-01,0:55:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",Madrid,-3.6984427,40.3926635,Espacio de experimentación científica para niñas y niños de 2 a 8 años,False,https://www.eventbrite.com/checkout-external?eid=1302079507859,"Niños y jóvenes,Familia y educación,Clase, formación o taller,Conferencias,Evento,Actividades,Octubre,investigactiva","Educación, Ocio, Salud",eventbrite,,2-8,2.0,8.0,False
1302072707519,Investigactiva. Especial Energía y movimiento 18 DE MAYO,https://www.eventbrite.es/e/investigactiva-especial-energia-y-movimiento-18-de-mayo-tickets-1302072707519,11:30,2025-05-18,12:25,2025-05-18,0:55:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",Madrid,-3.6984427,40.3926635,Espacio de experimentación científica para niñas y niños de 2 a 8 años,False,https://www.eventbrite.com/checkout-external?eid=1302072707519,"Niños y jóvenes,Familia y educación,Clase, formación o taller,Conferencias,Evento,Actividades,Octubre,investigactiva","Educación, Ocio, Salud",eventbrite,,2-8,2.0,8.0,False
1279173094159,EL REMENDÓN DE LA MUERTE  (MENUTSBARRIS) Títelles (+ 6 años).,https://www.eventbrite.es/e/entradas-el-remendon-de-la-muerte-menutsbarris-titelles-6-anos-1279173094159,18:30,2025-05-09,19:30,2025-05-09,1:00:00,Centro Social Gastón Castelló,"1 Avenida del Pino Santo, 03011 Alicante (Alacant)",Alicante,-0.4874181,38.3707623,El agua de la vida sirve para curar cualquier enfermedad.,False,https://www.eventbrite.com/checkout-external?eid=1279173094159,"Niños y jóvenes,Familia y educación,Concierto o actuación,Teatro,Gratis,Alicante","Cine, Educación, Ocio",eventbrite,,6,6.0,6.0,True
1333865229809,20 años Equitació for Life,https://www.eventbrite.es/e/entradas-20-anos-equitacio-for-life-1333865229809,10:00,2025-06-14,19:00,2025-06-14,9:00:00,Equitació for Life,"Carretera Nova de Sant Celoni, 08460 Santa Maria de Palautordera",Santa Maria de Palautordera,2.4562383,41.6924022,"¡Celebremos dos décadas de pasión por la terapia con caballos juntos en un evento lleno de diversión, aprendizaje y conexión!",False,https://www.eventbrite.com/checkout-external?eid=1333865229809,"Crianza,Familia y educación,Crecimientopersonal,Equinoterapia,Desarrollopersonal,montseny,terapiaconcaballos","Educación, Ocio",eventbrite,,20,20.0,20.0,False
12749968,3º Festival de Artes Escénicas para la primera infancia. Espuma de mar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a084e7802e416910VgnVCM2000001f4a900aRCRD,,2025-05-18,,2025-05-18,,Centro Cultural Sanchinarro (Hortaleza),CALLE PRINCESA DE EBOLI 29,Madrid,-3.6553467891079854,40.49042200599307,"Compañía Titirisolfa. Edad recomendada: de 0 meses a 5 años. Dos sesiones: 11 y 12:30 horas. Entrada: 8 euros niño y 8 euros adulto. (Niño y adulto tiene que disponer de entrada). Aforo: 40 niños, 40 acompañantes, que subirán al escenario. El resto de acompañantes deberán visionar el espectáculo desde el patio de butacas con entrada de patio de butacas. Duración: 50 minutos. ¿Te imaginas que un día te despiertas y ha crecido una playa en el teatro? Una playa, una bañista, unmarinero y una red de pesca. ¿Qué nos traerá la marea, envuelto en la espuma de mar? Tesoros y canciones para jugar. En una playa, que bien podría haber sido pintada en un cuadro de Seurat, dos artistas nos sumergen en un chapuzón musical. Este espectáculo forma parte de la programación del 3º Festival de artes escénicas para la primera infancia Pies Inquietos.  https://piesinquietosfest.com",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a084e7802e416910VgnVCM2000001f4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,5,5.0,5.0,False
12753990,A la mar salada,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=366f468e9b336910VgnVCM1000001d4a900aRCRD,18:00,2025-05-09,,2025-05-09,,Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),CALLE HERMANOS GARCIA NOBLEJAS 14,Madrid,-3.6372924261150033,40.43644651057092,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.  Este cuento está pensado para niñas y niños  a partir de 2 años. Recuerda que las niñas y niños deberán ir acompañados por una persona adulta. Para asistir es  necesario realizar inscripción previa a través de este enlace .  Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Margalida Alberti.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=366f468e9b336910VgnVCM1000001d4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+2,2.0,14.0,False
12754394,A taste of the moon,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c4e528353436910VgnVCM2000001f4a900aRCRD,18:00,2025-05-07,,2025-05-07,,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),CALLE MARIA SEVILLA DIAGO 15,Madrid,-3.610566231192745,40.43329162597362,"Vamos a leer en inglés y a divertirnos en la biblioteca. Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.      Este cuento está pensado para niñas y niños a partir de 2 años. La entrada es libre hasta completar aforo. Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.   Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Mamen Storyteller.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c4e528353436910VgnVCM2000001f4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+2,2.0,14.0,False
12754422,A taste of the moon,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7911528353436910VgnVCM2000001f4a900aRCRD,17:30,2025-05-29,,2025-05-29,,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),CALLE FRANCOS RODRIGUEZ 67,Madrid,-3.710539712535917,40.45749513485957,"Vamos a leer en inglés y a divertirnos en la biblioteca. Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.    Este cuento está pensado para niñas y niños a partir de 2 años. La entrada es libre hasta completar aforo. Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.   Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Mamen Storyteller.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7911528353436910VgnVCM2000001f4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+2,2.0,14.0,False
